名称,分类,地区,原来源,新来源,原网址,备注
四平市文物局,政府机构,国内-吉林,待核实,政府官网,http://wwj.jl.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
辽源市文物局,政府机构,国内-吉林,待核实,政府官网,http://wwj.jl.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
通化市文物局,政府机构,国内-吉林,待核实,政府官网,http://wwj.jl.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
白山市文物局,政府机构,国内-吉林,待核实,政府官网,http://wwj.jl.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
松原市文物局,政府机构,国内-吉林,待核实,政府官网,http://wwj.jl.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
白城市文物局,政府机构,国内-吉林,待核实,政府官网,http://wwj.jl.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
延边州文物局,政府机构,国内-吉林,待核实,政府官网,http://wwj.jl.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
芜湖市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
蚌埠市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
淮南市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
马鞍山市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
淮北市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
铜陵市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
安庆市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
黄山市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
滁州市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
阜阳市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
宿州市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
六安市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
亳州市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
池州市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
宣城市文物局,政府机构,国内-安徽,待核实,政府官网,https://ct.ah.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
福州市文物局,政府机构,国内-福建,待核实,政府官网,http://wlt.fujian.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
厦门市文物局,政府机构,国内-福建,待核实,政府官网,http://wlt.fujian.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
漳州市文物局,政府机构,国内-福建,待核实,政府官网,http://wlt.fujian.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
泉州市文物局,政府机构,国内-福建,待核实,政府官网,http://wlt.fujian.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
三明市文物局,政府机构,国内-福建,待核实,政府官网,http://wlt.fujian.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
莆田市文物局,政府机构,国内-福建,待核实,政府官网,http://wlt.fujian.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
南平市文物局,政府机构,国内-福建,待核实,政府官网,http://wlt.fujian.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
龙岩市文物局,政府机构,国内-福建,待核实,政府官网,http://wlt.fujian.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
宁德市文物局,政府机构,国内-福建,待核实,政府官网,http://wlt.fujian.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
南昌市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
景德镇市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
萍乡市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
九江市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
新余市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
鹰潭市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
赣州市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
吉安市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
宜春市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
抚州市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
上饶市文物局,政府机构,国内-江西,待核实,政府官网,http://wwj.jiangxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
郑州市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
开封市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
洛阳市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
平顶山市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
安阳市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
鹤壁市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
新乡市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
焦作市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
濮阳市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
许昌市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
漯河市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
三门峡市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
南阳市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
商丘市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
信阳市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
周口市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
驻马店市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
济源市文物局,政府机构,国内-河南,待核实,政府官网,https://wwj.henan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
贵阳市文物局,政府机构,国内-贵州,待核实,政府官网,http://wwj.guizhou.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
六盘水市文物局,政府机构,国内-贵州,待核实,政府官网,http://wwj.guizhou.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
遵义市文物局,政府机构,国内-贵州,待核实,政府官网,http://wwj.guizhou.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
安顺市文物局,政府机构,国内-贵州,待核实,政府官网,http://wwj.guizhou.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
毕节市文物局,政府机构,国内-贵州,待核实,政府官网,http://wwj.guizhou.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
铜仁市文物局,政府机构,国内-贵州,待核实,政府官网,http://wwj.guizhou.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
黔西南州文物局,政府机构,国内-贵州,待核实,政府官网,http://wwj.guizhou.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
黔东南州文物局,政府机构,国内-贵州,待核实,政府官网,http://wwj.guizhou.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
黔南州文物局,政府机构,国内-贵州,待核实,政府官网,http://wwj.guizhou.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
昆明市文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
曲靖市文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
玉溪市文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
保山市文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
昭通市文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
丽江市文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
普洱市文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
临沧市文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
楚雄州文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
红河州文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
文山州文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
西双版纳州文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
大理州文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
德宏州文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
怒江州文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
迪庆州文物局,政府机构,国内-云南,待核实,政府官网,http://wwj.yn.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
宝鸡市文物局,政府机构,国内-陕西,待核实,政府官网,http://wwj.shaanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
咸阳是文物局,政府机构,国内-陕西,待核实,政府官网,http://wwj.shaanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
铜川市文物局,政府机构,国内-陕西,待核实,政府官网,http://wwj.shaanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
渭南市文物局,政府机构,国内-陕西,待核实,政府官网,http://wwj.shaanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
延安市文物局,政府机构,国内-陕西,待核实,政府官网,http://wwj.shaanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
榆林市文物局,政府机构,国内-陕西,待核实,政府官网,http://wwj.shaanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
汉中市文物局,政府机构,国内-陕西,待核实,政府官网,http://wwj.shaanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
安康市文物局,政府机构,国内-陕西,待核实,政府官网,http://wwj.shaanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
商洛市文物局,政府机构,国内-陕西,待核实,政府官网,http://wwj.shaanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
兰州市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
嘉峪关市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
金昌市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
白银市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
天水市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
武威市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
张掖市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
平凉市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
酒泉市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
庆阳市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
定西市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
陇南市文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
临夏州文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
甘南州文物局,政府机构,国内-甘肃,待核实,政府官网,http://wwj.gansu.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
西宁市文物局,政府机构,国内-青海,待核实,政府官网,http://wwj.qinghai.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
海东市文物局,政府机构,国内-青海,待核实,政府官网,http://wwj.qinghai.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
海北州文物局,政府机构,国内-青海,待核实,政府官网,http://wwj.qinghai.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
黄南州文物局,政府机构,国内-青海,待核实,政府官网,http://wwj.qinghai.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
海南州文物局,政府机构,国内-青海,待核实,政府官网,http://wwj.qinghai.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
果洛州文物局,政府机构,国内-青海,待核实,政府官网,http://wwj.qinghai.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
玉树州文物局,政府机构,国内-青海,待核实,政府官网,http://wwj.qinghai.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
海西州文物局,政府机构,国内-青海,待核实,政府官网,http://wwj.qinghai.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
呼和浩特市文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
包头市文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
乌海市文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
赤峰市文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
通辽市文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
鄂尔多斯市文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
呼伦贝尔市文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
巴彦淖尔市文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
乌兰察布市文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
兴安盟文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
锡林郭勒盟文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
阿拉善盟文物局,政府机构,国内-内蒙古,待核实,政府官网,http://wwj.nmg.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
广西文化和旅游厅,政府机构,国内-广西,待核实,政府官网,http://www.gxta.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
南宁市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
柳州市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
桂林市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
梧州市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
北海市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
防城港市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
钦州市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
贵港市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
玉林市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
百色市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
贺州市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
河池市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
来宾市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
崇左市文物局,政府机构,国内-广西,待核实,政府官网,http://wwj.gxzf.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
银川市文物局,政府机构,国内-宁夏,待核实,政府官网,http://wwj.nx.gov.cn/,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
石嘴山市文物局,政府机构,国内-宁夏,待核实,政府官网,http://wwj.nx.gov.cn/,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
吴忠市文物局,政府机构,国内-宁夏,待核实,政府官网,http://wwj.nx.gov.cn/,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
固原市文物局,政府机构,国内-宁夏,待核实,政府官网,http://wwj.nx.gov.cn/,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
中卫市文物局,政府机构,国内-宁夏,待核实,政府官网,http://wwj.nx.gov.cn/,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
乌鲁木齐市文物局,政府机构,国内-新疆,待核实,政府官网,http://wwj.xinjiang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
克拉玛依市文物局,政府机构,国内-新疆,待核实,政府官网,http://wwj.xinjiang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
吐鲁番市文物局,政府机构,国内-新疆,待核实,政府官网,http://wwj.xinjiang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
哈密市文物局,政府机构,国内-新疆,待核实,政府官网,http://wwj.xinjiang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
阿克苏地区文物局,政府机构,国内-新疆,待核实,政府官网,http://wwj.xinjiang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
喀什地区文物局,政府机构,国内-新疆,待核实,政府官网,http://wwj.xinjiang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
和田地区文物局,政府机构,国内-新疆,待核实,政府官网,http://wwj.xinjiang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
伊犁州文物局,政府机构,国内-新疆,待核实,政府官网,http://wwj.xinjiang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
塔城地区文物局,政府机构,国内-新疆,待核实,政府官网,http://wwj.xinjiang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
阿勒泰地区文物局,政府机构,国内-新疆,待核实,政府官网,http://wwj.xinjiang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
拉萨市文物局,政府机构,国内-西藏,待核实,政府官网,http://wwj.xizang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
日喀则市文物局,政府机构,国内-西藏,待核实,政府官网,http://wwj.xizang.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
海口市文物局,政府机构,国内-海南,待核实,政府官网,http://tourism.hainan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
三亚市文物局,政府机构,国内-海南,待核实,政府官网,http://tourism.hainan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
三沙市文物局,政府机构,国内-海南,待核实,政府官网,http://tourism.hainan.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
