名称,分类,地区,百度百科链接,新官方链接,链接类型,备注
比萨大教堂广场,世界遗产,国际-意大利,https://whc.unesco.org/zh/statesparties/it,UNESCO官网(意大利),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
那不勒斯历史中心,世界遗产,国际-意大利,https://whc.unesco.org/zh/statesparties/it,UNESCO官网(意大利),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
马泰拉石窟民居,世界遗产,国际-意大利,https://whc.unesco.org/zh/statesparties/it,UNESCO官网(意大利),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
维罗纳城市,世界遗产,国际-意大利,https://whc.unesco.org/zh/statesparties/it,UNESCO官网(意大利),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
凡尔赛宫及其园林,世界遗产,国际-法国,https://whc.unesco.org/zh/statesparties/fr,UNESCO官网(法国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
塞纳河畔,世界遗产,国际-法国,https://whc.unesco.org/zh/statesparties/fr,UNESCO官网(法国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
加德桥,世界遗产,国际-法国,https://whc.unesco.org/zh/statesparties/fr,UNESCO官网(法国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
圣米歇尔山,世界遗产,国际-法国,https://whc.unesco.org/zh/statesparties/fr,UNESCO官网(法国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
香波堡,世界遗产,国际-法国,https://whc.unesco.org/zh/statesparties/fr,UNESCO官网(法国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
亚眠大教堂,世界遗产,国际-法国,https://whc.unesco.org/zh/statesparties/fr,UNESCO官网(法国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
伦敦塔,世界遗产,国际-英国,https://whc.unesco.org/zh/statesparties/gb,UNESCO官网(英国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
威斯敏斯特宫,世界遗产,国际-英国,https://whc.unesco.org/zh/statesparties/gb,UNESCO官网(英国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
巨石阵,世界遗产,国际-英国,https://whc.unesco.org/zh/statesparties/gb,UNESCO官网(英国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
爱丁堡城堡,世界遗产,国际-英国,https://whc.unesco.org/zh/statesparties/gb,UNESCO官网(英国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
布莱尼姆宫,世界遗产,国际-英国,https://whc.unesco.org/zh/statesparties/gb,UNESCO官网(英国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
温莎城堡,世界遗产,国际-英国,https://whc.unesco.org/zh/statesparties/gb,UNESCO官网(英国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
科隆大教堂,世界遗产,国际-德国,https://whc.unesco.org/zh/statesparties/de,UNESCO官网(德国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
维尔茨堡宫,世界遗产,国际-德国,https://whc.unesco.org/zh/statesparties/de,UNESCO官网(德国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
特里尔古城,世界遗产,国际-德国,https://whc.unesco.org/zh/statesparties/de,UNESCO官网(德国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
波兹坦无忧宫,世界遗产,国际-德国,https://whc.unesco.org/zh/statesparties/de,UNESCO官网(德国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
柏林博物馆岛,世界遗产,国际-德国,https://whc.unesco.org/zh/statesparties/de,UNESCO官网(德国),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
阿尔罕布拉宫,世界遗产,国际-西班牙,https://whc.unesco.org/zh/statesparties/es,UNESCO官网(西班牙),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
高迪建筑群,世界遗产,国际-西班牙,https://whc.unesco.org/zh/statesparties/es,UNESCO官网(西班牙),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
布尔戈斯大教堂,世界遗产,国际-西班牙,https://whc.unesco.org/zh/statesparties/es,UNESCO官网(西班牙),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
托莱多古城,世界遗产,国际-西班牙,https://whc.unesco.org/zh/statesparties/es,UNESCO官网(西班牙),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
塞维利亚大教堂,世界遗产,国际-西班牙,https://whc.unesco.org/zh/statesparties/es,UNESCO官网(西班牙),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
雅典卫城,世界遗产,国际-希腊,https://whc.unesco.org/zh/statesparties/gr,UNESCO官网(希腊),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
迈锡尼遗址,世界遗产,国际-希腊,https://whc.unesco.org/zh/statesparties/gr,UNESCO官网(希腊),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
德尔斐遗址,世界遗产,国际-希腊,https://whc.unesco.org/zh/statesparties/gr,UNESCO官网(希腊),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
奥林匹亚遗址,世界遗产,国际-希腊,https://whc.unesco.org/zh/statesparties/gr,UNESCO官网(希腊),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
克里姆林宫,世界遗产,国际-俄罗斯,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
红场,世界遗产,国际-俄罗斯,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
基日岛乡村教堂,世界遗产,国际-俄罗斯,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
伯尔尼古城,世界遗产,国际-瑞士,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
萨尔茨堡历史中心,世界遗产,国际-奥地利,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
美泉宫,世界遗产,国际-奥地利,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
克拉科夫历史中心,世界遗产,国际-波兰,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
奥斯维辛集中营,世界遗产,国际-波兰,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
辛特拉文化景观,世界遗产,国际-葡萄牙,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
波尔图历史中心,世界遗产,国际-葡萄牙,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
布鲁塞尔大广场,世界遗产,国际-比利时,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
阿姆斯特丹运河带,世界遗产,国际-荷兰,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
卡尔斯塔德,世界遗产,国际-丹麦,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
芬兰堡,世界遗产,国际-芬兰,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
布拉格历史中心,世界遗产,国际-捷克,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
克鲁姆洛夫古城,世界遗产,国际-捷克,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
布达佩斯多瑙河畔,世界遗产,国际-匈牙利,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
杜布罗夫尼克古城,世界遗产,国际-克罗地亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
斯普利特历史中心,世界遗产,国际-克罗地亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
卑尔根古城,世界遗产,国际-挪威,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
维加兰木构教堂,世界遗产,国际-挪威,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
德罗特宁霍尔姆宫,世界遗产,国际-瑞典,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
比尔卡,世界遗产,国际-瑞典,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
辛格维利尔国家公园,世界遗产,国际-冰岛,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
都柏林城堡,世界遗产,国际-爱尔兰,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
伊斯坦布尔历史区,世界遗产,国际-土耳其,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
卡帕多奇亚,世界遗产,国际-土耳其,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
以弗所,世界遗产,国际-土耳其,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
拉沃葡萄园,世界遗产,国际-瑞士,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
姬路城,世界遗产,国际-日本,https://whc.unesco.org/zh/statesparties/jp,UNESCO官网(日本),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
法隆寺,世界遗产,国际-日本,https://whc.unesco.org/zh/statesparties/jp,UNESCO官网(日本),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
屋久岛,世界遗产,国际-日本,https://whc.unesco.org/zh/statesparties/jp,UNESCO官网(日本),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
白神山地,世界遗产,国际-日本,https://whc.unesco.org/zh/statesparties/jp,UNESCO官网(日本),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
严岛神社,世界遗产,国际-日本,https://whc.unesco.org/zh/statesparties/jp,UNESCO官网(日本),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
古京都遗址,世界遗产,国际-日本,https://whc.unesco.org/zh/statesparties/jp,UNESCO官网(日本),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
奈良古寺,世界遗产,国际-日本,https://whc.unesco.org/zh/statesparties/jp,UNESCO官网(日本),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
富士山,世界遗产,国际-日本,https://whc.unesco.org/zh/statesparties/jp,UNESCO官网(日本),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
泰姬陵,世界遗产,国际-印度,https://whc.unesco.org/zh/statesparties/in,UNESCO官网(印度),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
阿格拉古堡,世界遗产,国际-印度,https://whc.unesco.org/zh/statesparties/in,UNESCO官网(印度),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
泰米尔纳德邦神庙,世界遗产,国际-印度,https://whc.unesco.org/zh/statesparties/in,UNESCO官网(印度),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
克久拉霍神庙,世界遗产,国际-印度,https://whc.unesco.org/zh/statesparties/in,UNESCO官网(印度),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
埃洛拉石窟,世界遗产,国际-印度,https://whc.unesco.org/zh/statesparties/in,UNESCO官网(印度),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
阿旃陀石窟,世界遗产,国际-印度,https://whc.unesco.org/zh/statesparties/in,UNESCO官网(印度),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
琥珀堡,世界遗产,国际-印度,https://whc.unesco.org/zh/statesparties/in,UNESCO官网(印度),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
印度门,世界遗产,国际-印度,https://whc.unesco.org/zh/statesparties/in,UNESCO官网(印度),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
吴哥窟,世界遗产,国际-柬埔寨,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
吴哥古城,世界遗产,国际-柬埔寨,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
蒲甘古城,世界遗产,国际-缅甸,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
素可泰古城,世界遗产,国际-泰国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
阿瑜陀耶古城,世界遗产,国际-泰国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
婆罗浮屠,世界遗产,国际-印尼,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
普兰巴南神庙,世界遗产,国际-印尼,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
科莫多国家公园,世界遗产,国际-印尼,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
马六甲古城,世界遗产,国际-马来西亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
基纳巴卢公园,世界遗产,国际-马来西亚,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
科迪勒拉梯田,世界遗产,国际-菲律宾,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
维甘古城,世界遗产,国际-菲律宾,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
石窟庵,世界遗产,国际-韩国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
佛国寺,世界遗产,国际-韩国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
海印寺,世界遗产,国际-韩国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
宗庙,世界遗产,国际-韩国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
昌德宫,世界遗产,国际-韩国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
韩国历史村落,世界遗产,国际-韩国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
阿卢维哈雷石窟,世界遗产,国际-斯里兰卡,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
加勒古城,世界遗产,国际-斯里兰卡,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
锡吉里耶古城,世界遗产,国际-斯里兰卡,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
加德满都谷地,世界遗产,国际-尼泊尔,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
奇特旺国家公园,世界遗产,国际-尼泊尔,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
不丹王国,世界遗产,国际-不丹,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
摩亨佐-达罗,世界遗产,国际-巴基斯坦,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
塔克西拉,世界遗产,国际-巴基斯坦,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
拉合尔古城,世界遗产,国际-巴基斯坦,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
波斯波利斯,世界遗产,国际-伊朗,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
伊玛目广场,世界遗产,国际-伊朗,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
波斯花园,世界遗产,国际-伊朗,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
佩特拉古城,世界遗产,国际-约旦,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
瓦迪拉姆,世界遗产,国际-约旦,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
耶路撒冷古城,世界遗产,国际-以色列,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
特拉维夫白城,世界遗产,国际-以色列,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
巴尔贝克,世界遗产,国际-黎巴嫩,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
比布鲁斯,世界遗产,国际-黎巴嫩,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
巴赫莱城堡,世界遗产,国际-阿曼,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
阿曼苏丹国,世界遗产,国际-阿曼,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
自由女神像,世界遗产,国际-美国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
约塞米蒂国家公园,世界遗产,国际-美国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
大峡谷国家公园,世界遗产,国际-美国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
黄石国家公园,世界遗产,国际-美国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
大沼泽地国家公园,世界遗产,国际-美国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
红杉树国家公园,世界遗产,国际-美国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
卡霍亚,世界遗产,国际-美国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
蒙蒂塞洛,世界遗产,国际-美国,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
尼亚加拉大瀑布,世界遗产,国际-加拿大,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
班夫国家公园,世界遗产,国际-加拿大,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
野牛悬崖,世界遗产,国际-加拿大,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
